  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  17.7796327212   0.1165423825   0.2230017492
  17.8297161937   0.1247140990   0.2286631207
  17.8797996661   0.1351290313   0.2223736322
  17.9298831386   0.1482289417   0.2059817139
  17.9799666110   0.1645798120   0.1836964419
  18.0300500835   0.1848832723   0.1597840007
  18.0801335559   0.2099653825   0.1371471783
  18.1302170284   0.2407090953   0.1171843788
  18.1803005008   0.2778695337   0.1002586470
  18.2303839733   0.3216849737   0.0861951897
  18.2804674457   0.3712196171   0.0746102429
  18.3305509182   0.4235506970   0.0650827524
  18.3806343907   0.4732897491   0.0572281604
  18.4307178631   0.5131611573   0.0507218365
  18.4808013356   0.5358157695   0.0453000349
  18.5308848080   0.5361621679   0.0407524469
  18.5809682805   0.5134318130   0.0369127310
  18.6310517529   0.4720298421   0.0336495949
  18.6811352254   0.4199173958   0.0308592597
  18.7312186978   0.3652347277   0.0284594069
  18.7813021703   0.3137454628   0.0263844388
  18.8313856427   0.2683289942   0.0245818125
  18.8814691152   0.2297476050   0.0230092216
  18.9315525876   0.1976134279   0.0216324311
  18.9816360601   0.1710758138   0.0204236126
  19.0317195326   0.1491956814   0.0193600622
  19.0818030050   0.1311112351   0.0184232091
  19.1318864775   0.1160923918   0.0175978484
  19.1819699499   0.1035443460   0.0168715470
  19.2320534224   0.0929916809   0.0162341833
  19.2821368948   0.0840575462   0.0156775942
  19.3322203673   0.0764438482   0.0151953073
  19.3823038397   0.0699144246   0.0147823434
  19.4323873122   0.0642814847   0.0144350795
  19.4824707846   0.0593949638   0.0141511651
  19.5325542571   0.0551342743   0.0139294887
  19.5826377295   0.0514019470   0.0137701940
  19.6327212020   0.0481187355   0.0136747496
  19.6828046745   0.0452198405   0.0136460775
  19.7328881469   0.0426519886   0.0136887529
  19.7829716194   0.0403711619   0.0138092889
  19.8330550918   0.0383408259   0.0140165297
  19.8831385643   0.0365305397   0.0143221808
  19.9332220367   0.0349148603   0.0147415157
  19.9833055092   0.0334724758   0.0152943052
  20.0333889816   0.0321855172   0.0160060247
  20.0834724541   0.0310390101   0.0169093898
  20.1335559265   0.0300204386   0.0180462359
  20.1836393990   0.0291193984   0.0194696608
  20.2337228715   0.0283273224   0.0212460841
  20.2838063439   0.0276372661   0.0234562985
  20.3338898164   0.0270437445   0.0261933430
  20.3839732888   0.0265426105   0.0295526482
  20.4340567613   0.0261309742   0.0336059725
  20.4841402337   0.0258071558   0.0383462088
  20.5342237062   0.0255706747   0.0435916526
  20.5843071786   0.0254222717   0.0488637734
  20.6343906511   0.0253639691   0.0533238615
  20.6844741235   0.0253991704   0.0559341118
  20.7345575960   0.0255328071   0.0559200895
  20.7846410684   0.0257715403   0.0532497656
  20.8347245409   0.0261240294   0.0486552035
  20.8848080134   0.0266012837   0.0431729090
  20.9348914858   0.0272171195   0.0376651203
  20.9849749583   0.0279887503   0.0326359212
  21.0350584307   0.0289375503   0.0282841436
  21.0851419032   0.0300900424   0.0246253363
  21.1352253756   0.0314791780   0.0215905082
  21.1853088481   0.0331460024   0.0190840384
  21.2353923205   0.0351418202   0.0170114050
  21.2854757930   0.0375310169   0.0152898846
  21.3355592654   0.0403947204   0.0138510463
  21.3856427379   0.0438355186   0.0126398310
  21.4357262104   0.0479834355   0.0116125104
  21.4858096828   0.0530032569   0.0107345204
  21.5358931553   0.0591029318   0.0099785404
  21.5859766277   0.0665418495   0.0093229125
  21.6360601002   0.0756356725   0.0087503894
  21.6861435726   0.0867499344   0.0082471593
  21.7362270451   0.1002660484   0.0078020945
  21.7863105175   0.1164893633   0.0074061725
  21.8363939900   0.1354533255   0.0070520311
  21.8864774624   0.1565791494   0.0067336246
  21.9365609349   0.1782356663   0.0064459578
  21.9866444073   0.1974734222   0.0061848785
  22.0367278798   0.2104585394   0.0059469152
  22.0868113523   0.2139049788   0.0057291492
  22.1368948247   0.2068106171   0.0055291136
  22.1869782972   0.1910652295   0.0053447124
  22.2370617696   0.1703445868   0.0051741563
  22.2871452421   0.1483148751   0.0050159104
  22.3372287145   0.1274990137   0.0048686523
  22.3873121870   0.1091339618   0.0047312375
  22.4373956594   0.0935475708   0.0046026717
  22.4874791319   0.0805842723   0.0044820877
  22.5375626043   0.0698965532   0.0043687260
  22.5876460768   0.0611007272   0.0042619194
  22.6377295492   0.0538451046   0.0041610794
  22.6878130217   0.0478321465   0.0040656858
  22.7378964942   0.0428197805   0.0039752764
  22.7879799666   0.0386148068   0.0038894401
  22.8380634391   0.0350643300   0.0038078100
  22.8881469115   0.0320476333   0.0037300573
  22.9382303840   0.0294692902   0.0036558872
  22.9883138564   0.0272536224   0.0035850341
  23.0383973289   0.0253403555   0.0035172584
  23.0884808013   0.0236812587   0.0034523437
  23.1385642738   0.0222375616   0.0033900936
  23.1886477462   0.0209779711   0.0033303295
  23.2387312187   0.0198771497   0.0032728893
  23.2888146912   0.0189145465   0.0032176246
  23.3388981636   0.0180734981   0.0031643999
  23.3889816361   0.0173405386   0.0031130914
  23.4390651085   0.0167048727   0.0030635850
  23.4891485810   0.0161579770   0.0030157761
  23.5392320534   0.0156933065   0.0029695683
  23.5893155259   0.0153060879   0.0029248727
  23.6393989983   0.0149931892   0.0028816072
  23.6894824708   0.0147530581   0.0028396957
  23.7395659432   0.0145857303   0.0027990677
  23.7896494157   0.0144929066   0.0027596579
  23.8397328881   0.0144781107   0.0027214055
  23.8898163606   0.0145469386   0.0026842538
  23.9398998331   0.0147074195   0.0026481501
  23.9899833055   0.0149705186   0.0026130452
  24.0400667780   0.0153508153   0.0025788930
  24.0901502504   0.0158674068   0.0025456505
  24.1402337229   0.0165450887   0.0025132774
  24.1903171953   0.0174158674   0.0024817358
  24.2404006678   0.0185208267   0.0024509902
  24.2904841402   0.0199122839   0.0024210073
  24.3405676127   0.0216559344   0.0023917556
  24.3906510851   0.0238321420   0.0023632055
  24.4407345576   0.0265343855   0.0023353292
  24.4908180301   0.0298606174   0.0023081003
  24.5409015025   0.0338894893   0.0022814939
  24.5909849750   0.0386287391   0.0022554865
  24.6410684474   0.0439230473   0.0022300558
  24.6911519199   0.0493299679   0.0022051808
  24.7412353923   0.0540389710   0.0021808415
  24.7913188648   0.0569964365   0.0021570188
  24.8414023372   0.0573444815   0.0021336948
  24.8914858097   0.0549370620   0.0021108523
  24.9415692821   0.0504393263   0.0020884752
  24.9916527546   0.0449006121   0.0020665477
  25.0417362270   0.0392415004   0.0020450553
  25.0918196995   0.0340241733   0.0020239838
  25.1419031720   0.0294851533   0.0020033198
  25.1919866444   0.0256580431   0.0019830505
  25.2420701169   0.0224794940   0.0019631637
  25.2921535893   0.0198533488   0.0019436476
  25.3422370618   0.0176821190   0.0019244910
  25.3923205342   0.0158795517   0.0019056834
  25.4424040067   0.0143739175   0.0018872143
  25.4924874791   0.0131073516   0.0018690741
  25.5425709516   0.0120338436   0.0018512532
  25.5926544240   0.0111170131   0.0018337427
