  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  26.4440734558   0.0078090166   0.0015763127
  26.4941569282   0.0074144975   0.0015631838
  26.5442404007   0.0070610317   0.0015502460
  26.5943238731   0.0067427489   0.0015374949
  26.6444073456   0.0064547895   0.0015249263
  26.6944908180   0.0061931063   0.0015125363
  26.7445742905   0.0059543094   0.0015003208
  26.7946577629   0.0057355436   0.0014882760
  26.8447412354   0.0055343915   0.0014763984
  26.8948247078   0.0053487958   0.0014646842
  26.9449081803   0.0051769969   0.0014531301
  26.9949916528   0.0050174834   0.0014417327
  27.0450751252   0.0048689507   0.0014304887
  27.0951585977   0.0047302685   0.0014193949
  27.1452420701   0.0046004531   0.0014084484
  27.1953255426   0.0044786451   0.0013976460
  27.2454090150   0.0043640912   0.0013869849
  27.2954924875   0.0042561284   0.0013764623
  27.3455759599   0.0041541715   0.0013660754
  27.3956594324   0.0040577021   0.0013558216
  27.4457429048   0.0039662594   0.0013456983
  27.4958263773   0.0038794330   0.0013357029
  27.5459098497   0.0037968559   0.0013258331
  27.5959933222   0.0037181992   0.0013160864
  27.6460767947   0.0036431674   0.0013064605
  27.6961602671   0.0035714941   0.0012969531
  27.7462437396   0.0035029390   0.0012875621
  27.7963272120   0.0034372843   0.0012782853
  27.8464106845   0.0033743325   0.0012691206
  27.8964941569   0.0033139039   0.0012600660
  27.9465776294   0.0032558348   0.0012511195
  27.9966611018   0.0031999757   0.0012422791
  28.0467445743   0.0031461899   0.0012335430
  28.0968280467   0.0030943520   0.0012249094
  28.1469115192   0.0030443468   0.0012163764
  28.1969949917   0.0029960684   0.0012079423
  28.2470784641   0.0029494193   0.0011996053
  28.2971619366   0.0029043091   0.0011913639
  28.3472454090   0.0028606548   0.0011832163
  28.3973288815   0.0028183789   0.0011751611
  28.4474123539   0.0027774102   0.0011671966
  28.4974958264   0.0027376819   0.0011593213
  28.5475792988   0.0026991325   0.0011515338
  28.5976627713   0.0026617042   0.0011438325
