  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  26.9949916528   0.0014417327   0.0014417327
  27.0450751252   0.0014304887   0.0014304887
  27.0951585977   0.0014193949   0.0014193949
  27.1452420701   0.0014084483   0.0014084484
  27.1953255426   0.0013976460   0.0013976460
  27.2454090150   0.0013869849   0.0013869849
  27.2954924875   0.0013764623   0.0013764623
  27.3455759599   0.0013660754   0.0013660754
  27.3956594324   0.0013558216   0.0013558216
  27.4457429048   0.0013456983   0.0013456983
  27.4958263773   0.0013357029   0.0013357029
  27.5459098497   0.0013258331   0.0013258331
  27.5959933222   0.0013160864   0.0013160864
  27.6460767947   0.0013064605   0.0013064605
  27.6961602671   0.0012969531   0.0012969531
  27.7462437396   0.0012875621   0.0012875621
  27.7963272120   0.0012782853   0.0012782853
  27.8464106845   0.0012691206   0.0012691206
  27.8964941569   0.0012600660   0.0012600660
  27.9465776294   0.0012511195   0.0012511195
  27.9966611018   0.0012422791   0.0012422791
  28.0467445743   0.0012335430   0.0012335430
  28.0968280467   0.0012249094   0.0012249094
  28.1469115192   0.0012163764   0.0012163764
  28.1969949917   0.0012079423   0.0012079423
  28.2470784641   0.0011996053   0.0011996053
  28.2971619366   0.0011913639   0.0011913639
  28.3472454090   0.0011832163   0.0011832163
  28.3973288815   0.0011751611   0.0011751611
  28.4474123539   0.0011671966   0.0011671966
  28.4974958264   0.0011593213   0.0011593213
  28.5475792988   0.0011515338   0.0011515338
  28.5976627713   0.0011438325   0.0011438325
  28.6477462437   0.0011362162   0.0011362162
  28.6978297162   0.0011286833   0.0011286833
  28.7479131886   0.0011212326   0.0011212326
  28.7979966611   0.0011138628   0.0011138628
  28.8480801336   0.0011065724   0.0011065724
  28.8981636060   0.0010993604   0.0010993604
  28.9482470785   0.0010922254   0.0010922254
  28.9983305509   0.0010851662   0.0010851662
  29.0484140234   0.0010781816   0.0010781816
  29.0984974958   0.0010712706   0.0010712706
  29.1485809683   0.0010644319   0.0010644319
  29.1986644407   0.0010576644   0.0010576644
  29.2487479132   0.0010509671   0.0010509672
  29.2988313856   0.0010443390   0.0010443390
  29.3489148581   0.0010377788   0.0010377788
  29.3989983306   0.0010312857   0.0010312857
  29.4490818030   0.0010248587   0.0010248587
  29.4991652755   0.0010184967   0.0010184967
  29.5492487479   0.0010121988   0.0010121988
  29.5993322204   0.0010059640   0.0010059640
  29.6494156928   0.0009997915   0.0009997915
  29.6994991653   0.0009936804   0.0009936804
  29.7495826377   0.0009876297   0.0009876297
  29.7996661102   0.0009816385   0.0009816385
  29.8497495826   0.0009757061   0.0009757061
  29.8998330551   0.0009698317   0.0009698317
  29.9499165275   0.0009640143   0.0009640143
  30.0000000000   0.0009582531   0.0009582531
